Date & Time,sku,name,brand,Average Rating,Rating Count,Sponsered,price,Sales Price,Express,Rank,Link
2024-12-29 18:03:57,Z43AAD20FFFC5E940AD7EZ,Longchamp Le Plia,Longchamp,NA,NA,N,165,165,Y,NA,https://www.noon.com/uae-en/longchamp-le-pliage-original-large-burgundy-tote-bag-for-women-l1899089p87/Z43AAD20FFFC5E940AD7EZ/p/?o=z43aad20fffc5e940ad7ez-1
2024-12-29 18:03:59,Z44BA0349A3D90D1C440EZ,"Gym Towel,Ice To",Generic Cooling,NA,NA,N,29,24.65,Y,NA,https://www.noon.com/uae-en/cooling-gym-towel-ice-towel-for-neck-and-face-chilly-towel-with-silicone-portable-storage-box-breathable-sweat-towel-for-yoga-running-gym-outdoor-sports-80cm-x-30cm-blue/Z44BA0349A3D90D1C440EZ/p/?o=z44ba0349a3d90d1c440ez-1
2024-12-29 18:04:02,Z7E1B8F9D4A3A38185E51Z,Bag with Bottom P,GROIC Yoga Mat,NA,NA,N,200,55.65,Y,NA,https://www.noon.com/uae-en/yoga-mat-bag-with-bottom-pocket-exercise-yoga-mat-carrier-multi-functional-storage-bag-yoga-gym-bag-yoga-mat-carrier-bag-for-class-workout-park/Z7E1B8F9D4A3A38185E51Z/p/?o=z7e1b8f9d4a3a38185e51z-1
2024-12-29 18:04:04,Z3C8FFE396E1C4B2EFA2DZ,Yoga Bed Yoga Stu,Generic Pilates,NA,NA,Y,"2,500","1,569",Y,NA,https://www.noon.com/uae-en/pilates-yoga-bed-yoga-studio-pilates-core-bed-pilates-training-bed-strength-adjustment-stainless-steel-yoga-training-bed/Z3C8FFE396E1C4B2EFA2DZ/p/?o=z3c8ffe396e1c4b2efa2dz-1
2024-12-29 18:04:07,Z3F95B162CE89D5F0E378Z,"Extra Wide 72""x 31","GROIC Yoga Mat,",NA,NA,N,250,119.65,Y,NA,https://www.noon.com/uae-en/yoga-mat-extra-wide-72-x-31-5-x-0-24-pilates-fitness-mats-with-alignment-marks-non-slip-fitness-yoga-mats-exercise-mats-for-yoga-pilates-home-floor-workout-with-carrying-sling-and-storage-bag/Z3F95B162CE89D5F0E378Z/p/?o=z3f95b162ce89d5f0e378z-1
2024-12-29 18:04:10,Z1E54BEB86583EFE979F7Z,Bag with Large Siz,GROIC Yoga Mat,NA,NA,N,200,76.35,Y,NA,https://www.noon.com/uae-en/yoga-mat-bag-with-large-size-pocket-multipurpose-and-beautiful-bag-yoga-mat-carrier-tote-holds-more-yoga-accessories/Z1E54BEB86583EFE979F7Z/p/?o=z1e54beb86583efe979f7z-1
2024-12-29 18:04:12,ZEDB8FEBB3E1E4D18D43CZ,Pear STARGAZE N,Prickly Pear Prickly,NA,NA,N,415,275,Y,NA,https://www.noon.com/uae-en/prickly-pear-stargaze-non-slip-suede-top-4mm-thick-yoga-mat-with-carry-strap-for-exercise-and-fitness/ZEDB8FEBB3E1E4D18D43CZ/p/?o=zedb8febb3e1e4d18d43cz-1
2024-12-29 18:04:15,Z603FF8FD1BFB572D8D9FZ,for Women and M,URbazaar Yoga Mat,NA,NA,Y,69.90,50.90,Y,NA,https://www.noon.com/uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1
2024-12-29 18:04:17,Z3C8DAF40330507AC95A4Z,Tote Bag Large Siz,LACOSTE Lacoste,NA,NA,Y,299,152.75,Y,NA,https://www.noon.com/uae-en/lacoste-tote-bag-large-size-black-color/Z3C8DAF40330507AC95A4Z/p/?o=z3c8daf40330507ac95a4z-1
2024-12-29 18:04:19,Z4F92579021C1CA25613BZ,Align-Pilates Leg E,Align-Pilates,NA,NA,Y,250,230,N,NA,https://www.noon.com/uae-en/align-pilates-leg-extensions-for-r8-pro-pilates-reformer/Z4F92579021C1CA25613BZ/p/?o=z4f92579021c1ca25613bz-1
